DISTCODE地区代码,County Name,County Name,City Name,City Name,Province Name,Province Name,C1997,C1998,C1999,C2000,C2001,C2002,C2003,C2004,C2005,C2006,C2007,C2008,C2009,C2010,C2011,C2012,C2013,C2014,C2015,C2016,C2017
341225,阜南县,Funan County,阜阳市,Fuyang City,安徽省,Anhui Province,1.103177461,1.118653224,1.177736855,1.243884241,1.184311334,1.280464155,1.461552246,1.583780175,1.817799774,2.017745737,2.12923756,2.266430742,2.468465854,2.663644787,2.972265218,3.015191522,2.961798602,3.161400652,2.937764334,3.10826322,3.195707459
341226,颍上县,Yingshang County,阜阳市,Fuyang City,安徽省,Anhui Province,1.89070696,1.905635884,1.999617066,2.105415742,2.005091795,2.16541457,2.480305489,2.702666256,3.103050105,3.613113779,4.020079322,4.210795894,4.586156414,4.987662116,5.449513436,5.609877457,5.503521639,5.509235732,5.107094932,5.334593498,5.529229281
341282,界首市,Jieshou City,阜阳市,Fuyang City,安徽省,Anhui Province,1.036754801,0.981004752,1.028224604,1.081040484,1.034919866,1.101139892,1.250986069,1.353267342,1.537700989,1.673773483,1.70282713,1.807421579,1.968539505,2.113237524,2.469316409,2.508920166,2.458062418,2.702935299,2.707722342,2.785955245,2.892656405
341302,埇桥区,Yongqiao District,宿州市,Suzhou City,安徽省,Anhui Province,3.339469355,3.181305204,3.301860029,3.500590636,3.412617718,3.655028613,4.175983764,4.580902114,5.346424325,6.091737372,6.464832455,6.954631205,7.575537891,8.194914818,9.204143467,9.654258211,10.40440323,10.81248004,10.13351479,10.44537755,9.928364781
341321,砀山县,Dangshan County,宿州市,Suzhou City,安徽省,Anhui Province,1.105796946,1.087872536,1.181758822,1.251953076,1.194608176,1.292876061,1.471228614,1.591517033,1.809789569,1.968566697,2.022846047,2.144670678,2.335851804,2.537516872,2.957843746,3.007592023,2.967825002,3.071267184,3.042580742,3.316872912,3.330630847
341322,萧县,Xiao County,宿州市,Suzhou City,安徽省,Anhui Province,1.932992935,1.87105084,2.089849021,2.212694568,2.118182532,2.279900514,2.602522221,2.816443568,3.237156442,3.577142825,3.694712684,3.861575182,4.208667497,4.570862051,4.931422082,5.002641334,4.944838863,5.054861147,4.495445962,4.754373978,5.052363858
341323,灵璧县,Lingbi County,宿州市,Suzhou City,安徽省,Anhui Province,1.174651984,1.123322205,1.154304526,1.217660528,1.1617979,1.244154697,1.417798235,1.544185671,1.769221756,1.94243155,1.977531143,2.089776452,2.276064174,2.479042475,2.760990664,2.96525196,3.031633949,3.044373775,2.787559487,2.814419877,2.668965033
341324,泗县,Si County,宿州市,Suzhou City,安徽省,Anhui Province,0.692292504,0.71141434,0.744413629,0.799731561,0.772088615,0.835117536,0.968478201,1.06518319,1.245716093,1.390783238,1.50270976,1.617627713,1.770413477,1.914356579,2.215137979,2.270440663,2.231540658,2.272898728,2.044342376,2.113517968,2.337096759
341402,居巢区,Juchao District,巢湖市,Chaohu City,安徽省,Anhui Province,1.911288629,1.837849199,1.907461561,2.022526802,1.953956631,2.200056757,2.53457729,2.745446525,3.138708438,3.461361314,3.609712057,3.816608636,4.160328563,4.564742637,5.036338286,5.067418012,4.980642772,4.977281884,4.680077893,4.865390401,4.674252253
341421,庐江县,Lujiang County,巢湖市,Chaohu City,安徽省,Anhui Province,1.645597993,1.574311169,1.649181333,1.752037453,1.67646547,1.810656344,2.094933624,2.26871959,2.61701153,2.879362509,2.955882731,3.111451428,3.389767784,3.70700482,4.084881722,4.203608343,4.203237106,4.149643063,3.943639344,4.504844995,4.734662783
