"Data Source","世界发展指标",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"巴哈马","BHS","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1960","2040","2570","2090","2070","2200","2070","1870","2360","2320","2230","2220","2400.00009536743","2380.00011444092","2250","2109.99989509583","2099.99990463257","2119.99988555908","2200.00004768372","6170.00007629395","2079.99992370605","2569.9999332428","3549.99995231628","2809.99994277954","2519.99998092651","2210.00003814697","2039.99996185303","2170.00007629395","2799.99995231628","2839.99991416931","","",
"波斯尼亚和黑塞哥维那","BIH","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23970","21440","15970","13400","3160","3370","4190","8490","10760","10520","13960","13760","14560.0004196167","14869.9998855591","15569.9996948242","16229.9995422363","17909.9998474121","18889.9993896484","20760.0002288818","20590.0001525879","20840.0001525879","23739.9997711182","21959.9990844727","21850.0003814697","19489.9997711182","19620.0008392334","22340.0001525879","22680.0003051758","22600.0003814697","21069.9996948242","","",
"白俄罗斯","BLR","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99830","96220","87990","76420","64810","57640","58650","59170","57260","54950","52940","51880","51840.0001525879","52700.0007629395","56040.0009155273","56779.9987792969","59119.9989318848","57650.0015258789","60529.9987792969","57400.0015258789","61669.9981689453","58549.9992370605","59939.998626709","59990.0016784668","59500","54819.9996948242","55139.9993896484","56009.9983215332","58950.0007629395","57669.9981689453","","",
"伯利兹","BLZ","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330","430","500","470","450","460","360","460","450","410","450","530","519.999980926514","509.999990463257","439.999997615814","469.999998807907","509.999990463257","529.999971389771","500","1460.00003814697","560.000002384186","670.000016689301","670.000016689301","460.00000834465","479.999989271164","680.000007152557","649.999976158142","639.999985694885","629.999995231628","639.999985694885","","",
"百慕大","BMU","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"玻利维亚","BOL","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10410","10870","11150","10200","9520","8580","8290","9120","8670","8220","8210","8050","8300.00019073486","9079.99992370605","9489.99977111816","10050.0001907349","11229.9995422363","12079.9999237061","13109.9996566772","14000","15170.0000762939","16610.0006103516","17420.0000762939","18739.9997711182","20409.9998474121","20760.0002288818","22010.0002288818","22750","23229.9995422363","22340.0001525879","","",
"巴西","BRA","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197900","205480","207870","215260","222500","241280","262410","281330","290590","300960","313670","319380","317760.009765625","310809.997558594","328519.989013672","331690.002441406","335619.995117188","352559.997558594","373630.004882813","350000","397929.992675781","418309.997558594","454230.010986328","486839.996337891","511619.995117188","485339.996337891","447079.986572266","456489.990234375","433989.990234375","434299.987792969","","",
"巴巴多斯","BRB","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","980","1180","1000","1030","1070","1060","1160","1270","1300","1240","1310","1370.00000476837","1379.99999523163","1360.00001430511","1419.99995708466","1470.00002861023","1480.00001907349","1779.99997138977","4619.99988555908","1549.99995231628","1759.99999046326","2119.99988555908","1440.00005722046","1269.99998092651","1269.99998092651","1289.99996185303","1179.99994754791","1240.00000953674","1250","","",
"文莱达鲁萨兰国","BRN","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3260","3380","3590","3930","4270","4600","4830","5230","4520","4430","4720","4710","4619.99988555908","5519.99998092651","5099.99990463257","4989.99977111816","7519.99998092651","7139.9998664856","7909.99984741211","7869.99988555908","7170.00007629395","7329.99992370605","7300.00019073486","7210.00003814697","7079.99992370605","6400.00009536743","6969.99979019165","7289.99996185303","7539.99996185303","6989.99977111816","","",
"不丹","BTN","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","130","120","130","140","160","200","190","200","200","210","230","239.999994635582","259.999990463257","289.99999165535","319.999992847443","319.999992847443","319.999992847443","300.000011920929","319.999992847443","400.000005960464","589.999973773956","639.999985694885","670.000016689301","699.999988079071","769.999980926514","930.000007152557","970.000028610229","1049.99995231628","1049.99995231628","","",
"博茨瓦纳","BWA","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2810","2730","3300","3250","3080","3190","2920","3070","3680","3860","4030","3870","4030.00020980835","3920.00007629395","3970.00002861023","4280.00020980835","4090.00015258789","4320.00017166138","4389.9998664856","4190.00005722046","3369.99988555908","3880.00011444092","3410.00008583069","5420.00007629395","6989.99977111816","6949.99980926514","6630.00011444092","7329.99992370605","7309.99994277954","7250","","",
"中非共和国","CAF","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","140","150","160","160","160","170","170","230","240","240","250","250","230.000004172325","230.000004172325","219.999998807907","230.000004172325","239.999994635582","170.000001788139","170.000001788139","170.000001788139","189.999997615814","200.000002980232","119.999997317791","129.999995231628","189.999997615814","209.999993443489","219.999998807907","230.000004172325","239.999994635582","","",
"加拿大","CAN","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","419490","413300","426370","422050","436760","448050","461700","476820","484790","494280","514220","506620","524349.975585938","544539.978027344","536419.982910156","549030.029296875","540530.029296875","571630.004882813","550469.970703125","521320.007324219","537010.009765625","549289.978027344","546210.021972656","555659.973144531","561679.992675781","558700.012207031","556830.017089844","568080.017089844","580090.026855469","580210.021972656","","",
"中歐和波羅的海","CEB","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","989030","913110","848800","826270","804150","809670","833180","807300","759210","717330","709020","721100","706180.001735688","735870.008468627","735040.006637573","733620.003700257","751329.997062683","758250.005722046","740869.979858399","683720.006465912","707019.995689392","707139.991283417","680990.003108979","654539.981842041","633330.014705658","643899.988651276","655579.986095429","679379.986763001","673560.00995636","641570.003986359","","",
"瑞士","CHE","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43330","45670","45700","43450","42590","43440","44010","42750","44250","44530","43710","45150","43569.9996948242","44840.0001525879","45279.9987792969","45849.9984741211","45479.9995422363","43540.0009155273","44959.9990844727","43669.9981689453","45209.9990844727","41189.998626709","42520.0004577637","43529.9987792969","39790.0009155273","39090.0001525879","39669.9981689453","38700.0007629395","37479.9995422363","37380.0010681152","","",
